"exercicio","Esfera_cod","Esfera_desc","Orgao_cod","Orgao_desc","UO_cod","UO_desc","Funcao_cod","Funcao_desc","Subfuncao_cod","Subfuncao_desc","Programa_cod","Programa_desc","Acao_cod","Acao_desc","Subtitulo_cod","Subtitulo_desc","PlanoOrcamentario_cod","PlanoOrcamentario_desc","Fonte_cod","Fonte_desc","GND_cod","GND_desc","ModalidadeAplicacao_cod","ModalidadeAplicacao_desc","IdUso_cod","IdUso_desc","ResultadoPrimario_cod","ResultadoPrimario_desc","ploa","loa"
"2026","20","Orçamento da Seguridade Social","33000","Ministério da Previdência Social","33101","Ministério da Previdência Social - Administração Direta","28","Encargos Especiais","846","Outros Encargos Especiais","0910","Operações Especiais: Gestão da Participação em Organismos e Entidades Nacionais e Internacionais","00UU","Contribuições Regulares a Organismos Internacionais de Direito Privado sem Exigência de Programação Específica","0002","Exterior","0008","Contribuição à Organização Iberoamericana de Seguridade Social - OISS","1001","Recursos Livres da Seguridade Social","3","Outras Despesas Correntes","80","Transferências ao Exterior","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",440000,440000
"2026","10","Orçamento Fiscal","22000","Ministério da Agricultura e Pecuária","22202","Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA","20","Agricultura","572","Desenvolvimento Tecnológico e Engenharia","2303","Pesquisa e Inovação Agropecuária","20Y6","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária","0012","No Estado do Acre","0000","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária - Despesas Diversas","1000","Recursos Livres da União","4","Investimentos","50","Transferências a Instituições Privadas sem Fins Lucrativos","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,5e+05
"2026","10","Orçamento Fiscal","22000","Ministério da Agricultura e Pecuária","22202","Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA","20","Agricultura","572","Desenvolvimento Tecnológico e Engenharia","2303","Pesquisa e Inovação Agropecuária","20Y6","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária","0012","No Estado do Acre","0000","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária - Despesas Diversas","1000","Recursos Livres da União","3","Outras Despesas Correntes","50","Transferências a Instituições Privadas sem Fins Lucrativos","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1600000
"2026","10","Orçamento Fiscal","22000","Ministério da Agricultura e Pecuária","22202","Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA","20","Agricultura","572","Desenvolvimento Tecnológico e Engenharia","2303","Pesquisa e Inovação Agropecuária","20Y6","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária","0012","No Estado do Acre","0000","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária - Despesas Diversas","1000","Recursos Livres da União","4","Investimentos","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1e+06
"2026","10","Orçamento Fiscal","22000","Ministério da Agricultura e Pecuária","22202","Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA","20","Agricultura","572","Desenvolvimento Tecnológico e Engenharia","2303","Pesquisa e Inovação Agropecuária","20Y6","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária","0012","No Estado do Acre","0000","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária - Despesas Diversas","1000","Recursos Livres da União","3","Outras Despesas Correntes","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,6e+05
"2026","20","Orçamento da Seguridade Social","26000","Ministério da Educação","26260","Universidade Federal de Alfenas","09","Previdência Social","272","Previdência do Regime Estatutário","0032","Programa de Gestão e Manutenção do Poder Executivo","0181","Aposentadorias e Pensões Civis da União","0031","No Estado de Minas Gerais","0000","Aposentadorias e Pensões Civis da União","1056","Benefícios do Regime Próprio de Previdência Social da União","1","Pessoal e Encargos Sociais","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","1","Primária obrigatória, considerada no cálculo do RP",48132637,48132637
"2026","20","Orçamento da Seguridade Social","26000","Ministério da Educação","26241","Universidade Federal do Paraná","09","Previdência Social","272","Previdência do Regime Estatutário","0032","Programa de Gestão e Manutenção do Poder Executivo","0181","Aposentadorias e Pensões Civis da União","0041","No Estado do Paraná","0000","Aposentadorias e Pensões Civis da União","1002","Atividades-fim da Seguridade Social","1","Pessoal e Encargos Sociais","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","1","Primária obrigatória, considerada no cálculo do RP",115430510,115430510
"2026","20","Orçamento da Seguridade Social","26000","Ministério da Educação","26241","Universidade Federal do Paraná","09","Previdência Social","272","Previdência do Regime Estatutário","0032","Programa de Gestão e Manutenção do Poder Executivo","0181","Aposentadorias e Pensões Civis da União","0041","No Estado do Paraná","0000","Aposentadorias e Pensões Civis da União","1056","Benefícios do Regime Próprio de Previdência Social da União","1","Pessoal e Encargos Sociais","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","1","Primária obrigatória, considerada no cálculo do RP",734092469,734092469
"2026","20","Orçamento da Seguridade Social","33000","Ministério da Previdência Social","33101","Ministério da Previdência Social - Administração Direta","28","Encargos Especiais","846","Outros Encargos Especiais","0910","Operações Especiais: Gestão da Participação em Organismos e Entidades Nacionais e Internacionais","00UU","Contribuições Regulares a Organismos Internacionais de Direito Privado sem Exigência de Programação Específica","0002","Exterior","0006","Contribuição à Associação Internacional de Seguridade Social - AISS","1001","Recursos Livres da Seguridade Social","3","Outras Despesas Correntes","80","Transferências ao Exterior","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",90000,90000
"2026","20","Orçamento da Seguridade Social","33000","Ministério da Previdência Social","33101","Ministério da Previdência Social - Administração Direta","28","Encargos Especiais","846","Outros Encargos Especiais","0910","Operações Especiais: Gestão da Participação em Organismos e Entidades Nacionais e Internacionais","00UU","Contribuições Regulares a Organismos Internacionais de Direito Privado sem Exigência de Programação Específica","0002","Exterior","0007","Contribuição à Conferência Interamericana de Seguridade Social - CISS","1001","Recursos Livres da Seguridade Social","3","Outras Despesas Correntes","80","Transferências ao Exterior","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",4e+05,4e+05
